"축제명",개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
"부산원도심활성화축제",원도심일원,2024-05-17,2024-05-26,택슐랭 체험 프로그램 등,(사)부산문화관광축제조직위원회,부산광역시청,,051-888-5221,http://www.bfo.or.kr/main/index.asp,,부산광역시 동구 중앙대로 210,부산광역시 동구 초량동 1202,35.1151466925,129.0408347920,2024-06-13
"부산항축제",북항친수공원 등,2024-06-01,2024-06-02,"글로벌포트파크, 각종 참여행사 등",(사)부산문화관광축제조직위원회,부산광역시청,,051-888-5295,http://www.bfo.or.kr/main/index.asp,,부산광역시 동구 충장대로 206,부산광역시 동구 초량동 45-39,35.1177469739,129.0491458206,2024-06-13
"부산밀페스티벌",화명생태공원,2024-06-22,2024-06-23,"토크콘서트, 푸드라운지, 체험프로그램 등",(사)부산문화관광축제조직위원회,부산광역시청,,051-888-5222,http://www.bfo.or.kr/main/index.asp,,부산광역시 북구 강변대로 1629,부산광역시 북구 덕천동 763,35.2223687078,129.0006771473,2024-06-13
"부산바다축제",다대포해수욕장,2024-07-26,2024-07-28,공연행사+불꽃쇼+체험행사 등,(사)부산문화관광축제조직위원회,부산광역시청,,051-888-5224,http://www.bfo.or.kr/main/index.asp,,부산광역시 사하구 몰운대1길 14,부산광역시 사하구 다대동 482-3,35.0463817180,128.9680068059,2024-06-13
"부산국제록페스티벌",삼락생태공원,2024-10-04,2024-10-06,국내외 유명밴드 스테이지 공연 등,(사)부산문화관광축제조직위원회,부산광역시청,,051-888-5221,http://www.bfo.or.kr/main/index.asp,,부산광역시 사상구 낙동대로 1231,부산광역시 사상구 삼락동 617-3,35.1700126498,128.9765698628,2024-06-13
"부산불꽃축제",광안리해수욕장 등,2024-11-09,2024-11-09,불꽃 토크쇼+부산멀티불꽃쇼 등,(사)부산문화관광축제조직위원회,부산광역시청,,051-888-5222,http://www.bfo.or.kr/main/index.asp,,부산광역시 수영구 광안해변로 219,부산광역시 수영구 광안동 192-16,35.1537727634,129.1185199724,2024-06-13
"부산시민의종 타종식",용두산공원,2024-12-31,2025-01-01,시민의종 타종+문화공연,(사)부산문화관광축제조직위원회,부산광역시청,,051-888-5224,http://www.bfo.or.kr/main/index.asp,,부산광역시 중구 용두산길 37-55(광복동2가),부산광역시 중구 동광동2가 17-6,35.1009294326,129.0324428052,2024-06-13
